Job,Operation,Machine,Start,Duration,End
16,1,15,13,40,53
6,2,15,64,21,85
10,3,15,85,18,103
15,1,15,149,34,183
7,8,15,188,12,200
8,7,15,202,39,241
14,2,15,259,40,299
13,10,15,423,22,445
19,3,15,529,22,551
20,10,15,576,14,590
18,8,15,607,31,638
3,14,15,665,22,687
9,8,15,687,27,714
11,6,15,785,14,799
17,11,15,799,19,818
12,7,15,833,19,852
2,12,15,852,20,872
4,10,15,886,25,911
1,11,15,912,16,928
5,12,15,930,28,958
7,0,14,0,27,27
5,1,14,131,20,151
16,7,14,177,24,201
8,8,14,247,39,286
13,5,14,288,37,325
12,3,14,345,35,380
3,2,14,389,23,412
9,0,14,412,32,444
15,11,14,453,40,493
20,7,14,506,36,542
19,4,14,551,15,566
10,7,14,657,11,668
2,5,14,677,15,692
18,12,14,726,29,755
6,12,14,770,38,808
17,13,14,840,27,867
11,10,14,876,31,907
14,12,14,916,20,936
1,12,14,936,39,975
4,14,14,978,18,996
10,0,13,0,35,35
7,4,13,97,12,109
13,0,13,128,39,167
17,3,13,193,40,233
15,3,13,233,38,271
14,3,13,299,23,322
8,11,13,357,12,369
20,2,13,369,27,396
18,0,13,410,22,432
3,6,13,491,19,510
2,2,13,602,20,622
4,4,13,654,33,687
11,2,13,687,29,716
16,14,13,767,13,780
6,13,13,814,13,827
19,10,13,829,40,869
9,13,13,891,28,919
5,13,13,958,15,973
12,13,13,980,17,997
1,14,13,997,26,1023
6,1,12,35,19,54
5,0,12,101,23,124
7,11,12,257,17,274
12,1,12,274,25,299
15,5,12,306,16,322
13,9,12,403,12,415
16,12,12,415,13,428
9,1,12,445,29,474
20,6,12,474,22,496
17,8,12,515,36,551
18,6,12,551,17,568
19,5,12,568,20,588
3,11,12,596,29,625
2,3,12,625,19,644
10,9,12,705,31,736
4,8,12,775,29,804
8,12,12,804,37,841
14,10,12,870,21,891
1,10,12,891,18,909
11,11,12,909,14,923
8,5,11,148,40,188
16,8,11,201,23,224
7,10,11,236,21,257
5,9,11,371,34,405
14,7,11,416,17,433
18,1,11,437,14,451
19,1,11,461,30,491
15,12,11,500,12,512
3,7,11,512,23,535
13,14,11,535,16,551
17,10,11,563,33,596
11,0,11,612,28,640
6,7,11,640,36,676
20,14,11,676,17,693
2,6,11,700,28,728
10,11,11,755,15,770
4,9,11,804,24,828
9,11,11,845,13,858
12,10,11,926,18,944
1,13,11,975,19,994
16,0,10,0,13,13
8,3,10,107,20,127
15,0,10,128,21,149
7,7,10,175,13,188
20,0,10,293,31,324
5,7,10,324,23,347
12,6,10,445,20,465
13,13,10,497,32,529
3,8,10,535,17,552
4,0,10,552,20,572
19,6,10,588,16,604
9,6,10,618,26,644
1,2,10,644,17,661
18,11,10,705,20,725
6,11,10,740,28,768
10,13,10,798,26,824
17,12,10,824,16,840
