Job,Operation,Machine,Start,Duration,End
7,1,10,8,58,66
24,1,10,80,31,111
45,3,10,113,16,129
14,3,10,186,58,244
34,1,10,244,96,340
38,6,10,341,83,424
29,8,10,424,14,438
8,4,10,438,92,530
23,1,10,530,60,590
36,1,10,590,6,596
50,1,10,624,100,724
20,3,10,724,42,766
43,8,10,918,4,922
26,3,10,922,30,952
35,3,10,1200,26,1226
4,6,10,1228,62,1290
15,5,10,1290,73,1363
46,10,10,1365,71,1436
31,2,10,1515,90,1605
11,5,10,1708,47,1755
41,9,10,1764,56,1820
44,2,10,1851,3,1854
27,1,10,1899,86,1985
21,3,10,2141,2,2143
25,10,10,2144,82,2226
13,8,10,2236,58,2294
9,9,10,2341,25,2366
2,9,10,2515,82,2597
49,8,10,2600,35,2635
37,5,10,2663,4,2667
42,8,10,2684,67,2751
22,1,10,2769,11,2780
39,6,10,2803,93,2896
18,4,10,2908,25,2933
6,1,10,2955,51,3006
48,6,10,3034,91,3125
3,10,10,3174,56,3230
47,6,10,3252,4,3256
40,2,10,3306,27,3333
16,9,10,3397,32,3429
32,8,10,3511,70,3581
28,9,10,3735,100,3835
33,3,10,3846,45,3891
17,6,10,3898,45,3943
5,10,10,4109,2,4111
1,10,10,4312,30,4342
19,8,10,4348,63,4411
12,10,10,4411,56,4467
30,10,10,4482,7,4489
10,10,10,4502,70,4572
13,2,9,69,65,134
45,5,9,210,89,299
14,5,9,299,98,397
29,9,9,438,82,520
34,6,9,565,35,600
1,4,9,600,29,629
43,3,9,632,96,728
23,3,9,754,16,770
46,2,9,847,53,900
24,9,9,962,46,1008
26,7,9,1050,47,1097
7,6,9,1098,64,1162
28,3,9,1162,95,1257
4,8,9,1323,46,1369
2,3,9,1381,98,1479
11,2,9,1507,80,1587
35,10,9,1611,59,1670
41,6,9,1670,60,1730
31,5,9,1751,43,1794
25,3,9,1794,49,1843
8,5,9,1843,19,1862
20,10,9,1862,52,1914
38,10,9,1936,76,2012
21,2,9,2042,99,2141
9,5,9,2168,60,2228
44,8,9,2309,6,2315
32,6,9,2367,59,2426
49,6,9,2489,53,2542
37,3,9,2543,78,2621
39,2,9,2621,43,2664
42,9,9,2751,74,2825
15,10,9,2825,18,2843
3,3,9,2919,30,2949
22,6,9,2958,5,2963
18,6,9,3001,83,3084
36,3,9,3084,46,3130
6,10,9,3246,28,3274
47,8,9,3349,27,3376
16,7,9,3376,2,3378
40,6,9,3491,66,3557
27,7,9,3606,13,3619
5,3,9,3634,11,3645
10,7,9,3779,45,3824
17,5,9,3873,25,3898
33,7,9,3990,76,4066
19,3,9,4068,55,4123
50,7,9,4123,46,4169
12,6,9,4173,49,4222
30,5,9,4257,85,4342
48,9,9,4414,54,4468
12,2,8,16,6,22
38,4,8,174,91,265
29,5,8,265,59,324
45,7,8,352,86,438
34,4,8,438,67,505
14,7,8,505,46,551
49,5,8,551,27,578
43,1,8,590,24,614
1,7,8,688,57,745
23,2,8,745,9,754
24,7,8,817,42,859
26,4,8,952,68,1020
4,4,8,1059,76,1135
15,3,8,1135,90,1225
35,4,8,1226,46,1272
7,8,8,1272,89,1361
46,9,8,1363,2,1365
11,1,8,1440,66,1506
41,2,8,1512,13,1525
20,5,8,1654,2,1656
31,7,8,1856,33,1889
8,7,8,1889,46,1935
25,6,8,1937,100,2037
44,6,8,2050,47,2097
21,4,8,2152,10,2162
32,2,8,2168,26,2194
9,7,8,2272,4,2276
13,10,8,2320,71,2391
2,8,8,2472,37,2509
39,1,8,2536,82,2618
42,6,8,2633,35,2668
37,6,8,2668,97,2765
22,2,8,2788,65,2853
48,4,8,2921,35,2956
6,2,8,3007,75,3082
3,7,8,3089,14,3103
18,8,8,3120,78,3198
47,5,8,3225,20,3245
40,1,8,3249,51,3300
36,7,8,3342,94,3436
16,10,8,3436,46,3482
27,8,8,3619,10,3629
10,5,8,3633,61,3694
28,8,8,3705,28,3733
17,2,8,3735,14,3749
5,5,8,3749,96,3845
19,2,8,4038,20,4058
50,10,8,4261,100,4361
33,9,8,4361,55,4416
30,8,8,4453,8,4461
45,1,7,0,99,99
30,2,7,99,98,197
8,1,7,205,37,242
7,3,7,254,77,331
47,2,7,331,89,420
29,7,7,420,1,421
49,3,7,457,17,474
34,5,7,505,60,565
24,4,7,667,28,695
14,10,7,703,46,749
1,9,7,824,91,915
4,2,7,915,85,1000
43,10,7,1000,27,1027
26,6,7,1030,20,1050
23,6,7,1050,2,1052
15,2,7,1075,58,1133
46,7,7,1192,95,1287
2,2,7,1287,94,1381
38,8,7,1381,61,1442
35,8,7,1469,46,1515
41,3,7,1525,63,1588
25,2,7,1703,91,1794
20,8,7,1796,11,1807
11,9,7,1836,90,1926
44,4,7,1939,93,2032
13,7,7,2163,71,2234
9,8,7,2277,56,2333
21,7,7,2337,61,2398
37,1,7,2425,89,2514
12,4,7,2514,86,2600
39,3,7,2664,76,2740
3,1,7,2773,43,2816
42,10,7,2825,39,2864
16,3,7,3075,97,3172
6,8,7,3174,30,3204
18,10,7,3233,27,3260
40,4,7,3354,52,3406
36,8,7,3436,83,3519
10,4,7,3567,63,3630
27,9,7,3630,18,3648
5,4,7,3648,96,3744
33,1,7,3744,92,3836
28,10,7,3836,27,3863
17,7,7,3943,12,3955
19,1,7,4008,29,4037
32,10,7,4038,10,4048
22,9,7,4097,67,4164
50,9,7,4172,89,4261
48,7,7,4335,35,4370
31,9,7,4370,97,4467
46,1,6,91,67,158
14,2,6,158,20,178
29,6,6,324,95,419
49,2,6,452,2,454
45,9,6,477,3,480
1,3,6,528,71,599
34,7,6,600,70,670
24,5,6,701,97,798
26,2,6,845,68,913
43,9,6,925,69,994
23,5,6,1008,34,1042
15,1,6,1064,6,1070
28,2,6,1149,12,1161
7,7,6,1168,94,1262
35,5,6,1273,81,1354
4,9,6,1369,33,1402
31,1,6,1459,47,1506
9,4,6,1557,69,1626
41,8,6,1754,10,1764
11,6,6,1764,38,1802
20,9,6,1814,38,1852
38,9,6,1852,84,1936
13,3,6,1989,20,2009
