Job,Operation,Machine,Start,Duration,End
13,1,10,28,11,39
12,1,10,90,90,180
5,0,10,180,20,200
15,5,10,285,57,342
2,8,10,511,73,584
11,8,10,591,5,596
8,2,10,813,78,891
14,5,10,963,66,1029
9,8,10,1034,40,1074
1,8,10,1107,96,1203
3,3,10,1203,82,1285
4,7,10,1320,35,1355
7,6,10,1355,36,1391
6,8,10,1457,7,1464
10,8,10,1464,88,1552
15,1,9,18,93,111
11,0,9,111,62,173
12,4,9,359,64,423
2,7,9,454,57,511
5,6,9,512,15,527
13,8,9,605,49,654
9,3,9,688,29,717
1,2,9,737,77,814
8,4,9,914,41,955
6,4,9,957,77,1034
7,2,9,1052,48,1100
3,2,9,1169,34,1203
4,6,9,1273,47,1320
14,8,9,1445,47,1492
10,9,9,1552,54,1606
15,2,8,111,58,169
13,2,8,230,50,280
5,3,8,287,67,354
11,4,8,354,69,423
2,6,8,423,31,454
12,7,8,500,82,582
9,1,8,582,13,595
1,0,8,595,84,679
7,0,8,679,56,735
6,3,8,887,70,957
14,6,8,1030,69,1099
10,2,8,1163,32,1195
4,5,8,1211,62,1273
3,7,8,1387,80,1467
8,9,8,1503,76,1579
2,0,7,66,21,87
15,3,7,169,47,216
5,2,7,216,71,287
13,3,7,338,88,426
12,5,7,426,63,489
6,0,7,635,93,728
14,2,7,730,56,786
9,5,7,786,82,868
1,5,7,955,89,1044
8,7,7,1044,84,1128
4,3,7,1128,72,1200
10,3,7,1200,64,1264
3,5,7,1355,22,1377
7,8,7,1418,87,1505
11,9,7,1505,93,1598
8,1,6,80,15,95
14,1,6,98,39,137
2,3,6,200,39,239
11,2,6,244,32,276
15,7,6,383,53,436
13,5,6,481,31,512
5,7,6,527,50,577
12,8,6,582,88,670
1,1,6,679,58,737
6,1,6,737,93,830
9,6,6,868,88,956
4,0,6,1010,75,1085
3,1,6,1094,71,1165
10,6,6,1370,82,1452
7,9,6,1505,6,1511
13,0,5,0,28,28
2,2,5,183,15,198
5,1,5,204,12,216
15,8,5,436,79,515
11,7,5,519,72,591
12,9,5,670,7,677
9,4,5,726,54,780
14,3,5,796,62,858
1,4,5,858,97,955
8,6,5,1006,30,1036
7,3,5,1100,26,1126
4,4,5,1200,11,1211
10,4,5,1264,54,1318
6,5,5,1318,58,1376
3,6,5,1377,10,1387
8,0,4,0,76,76
15,4,4,216,69,285
2,5,4,331,85,416
11,5,4,423,61,484
12,6,4,489,11,500
5,8,4,577,75,652
13,9,4,654,35,689
14,4,4,864,97,961
1,6,4,1044,5,1049
9,9,4,1074,13,1087
4,2,4,1112,7,1119
3,4,4,1285,70,1355
7,7,4,1391,27,1418
10,7,4,1452,6,1458
6,9,4,1464,68,1532
12,0,3,6,78,84
14,0,3,84,14,98
11,1,3,173,67,240
2,4,3,244,81,325
15,6,3,342,41,383
5,5,3,418,94,512
13,6,3,512,27,539
9,2,3,602,81,683
1,3,3,814,44,858
8,5,3,961,36,997
4,1,3,1094,17,1111
10,0,3,1121,6,1127
7,4,3,1127,82,1209
6,7,3,1428,29,1457
3,8,3,1467,48,1515
15,0,2,0,18,18
2,1,2,87,87,174
12,3,2,277,72,349
11,6,2,484,35,519
13,7,2,539,66,605
5,9,2,652,90,742
6,2,2,830,57,887
8,3,2,897,8,905
9,7,2,956,78,1034
1,7,2,1049,58,1107
14,7,2,1107,7,1114
10,1,2,1130,26,1156
7,5,2,1209,63,1272
4,8,2,1355,91,1446
3,9,2,1515,49,1564
3,0,1,6,40,46
12,2,1,187,85,272
11,3,1,284,62,346
5,4,1,354,64,418
13,4,1,433,44,477
9,0,1,504,75,579
2,9,1,584,77,661
7,1,1,956,95,1051
1,9,1,1203,9,1212
15,9,1,1218,64,1282
8,8,1,1282,36,1318
10,5,1,1318,52,1370
6,6,1,1376,52,1428
4,9,1,1446,55,1501
14,9,1,1501,76,1577
